Date,Open,High,Low,Close,Volume
07/18/2023,"100.92","102.20","100.34","100.92","24,617,801"
07/17/2023,"100.72","101.67","100.22","101.38","18,055,850"
07/14/2023,"104.05","104.05","100.53","100.94","28,181,920"
07/13/2023,"105.97","106.23","103.32","104.54","26,826,840"
07/12/2023,"107.00","107.65","106.13","106.49","13,238,240"
07/11/2023,"105.26","106.16","104.81","105.97","12,581,080"
07/10/2023,"102.97","104.75","102.75","104.69","14,877,620"
07/07/2023,"101.92","104.00","101.56","103.16","21,929,160"
07/06/2023,"105.09","105.72","102.43","102.92","17,964,881"
07/05/2023,"107.63","107.92","106.10","106.91","12,491,210"
07/03/2023,"107.49","108.46","107.07","107.46","7,396,992"
06/30/2023,"107.32","107.88","106.81","107.25","13,544,660"
06/29/2023,"105.66","106.73","105.13","106.70","11,364,440"
06/28/2023,"104.31","105.82","103.20","105.40","13,084,060"
06/27/2023,"104.05","104.61","103.27","104.55","13,227,490"
06/26/2023,"102.20","104.91","102.20","104.29","14,283,410"
06/23/2023,"102.59","102.82","101.62","102.40","17,933,600"
06/22/2023,"102.84","103.89","102.65","103.30","12,458,810"
06/21/2023,"102.50","104.63","102.33","103.87","13,285,740"
06/20/2023,"104.68","104.77","102.12","102.72","17,519,381"
06/16/2023,"106.36","106.77","104.96","105.13","43,128,871"
06/15/2023,"105.50","107.03","105.44","105.89","16,224,120"
06/14/2023,"107.45","108.11","104.39","105.16","16,627,680"
06/13/2023,"107.38","108.34","106.28","106.44","13,533,780"
06/12/2023,"105.81","107.06","105.56","106.42","14,115,160"
06/09/2023,"108.46","108.61","107.16","107.39","12,252,530"
06/08/2023,"108.77","109.14","105.90","108.19","13,517,920"
06/07/2023,"106.79","108.89","106.73","108.53","16,027,090"
06/06/2023,"104.15","106.27","103.98","106.15","12,209,770"
06/05/2023,"107.19","107.29","105.09","105.29","12,248,272"
06/02/2023,"105.16","106.13","104.53","105.76","14,112,040"
06/01/2023,"101.75","105.58","101.26","103.36","13,551,940"
05/31/2023,"102.29","103.04","101.74","102.18","24,926,119"
05/30/2023,"103.29","104.12","102.61","104.04","11,938,030"
05/26/2023,"106.47","106.95","104.83","104.97","12,370,330"
05/25/2023,"105.94","106.43","104.71","105.66","14,316,460"
05/24/2023,"107.38","108.51","106.73","107.59","16,340,290"
05/23/2023,"105.99","108.22","105.75","106.40","14,394,440"
05/22/2023,"105.84","107.04","104.88","104.97","12,882,000"
05/19/2023,"106.57","107.05","105.82","106.26","13,359,630"
05/18/2023,"104.55","105.91","104.13","105.77","12,005,610"
05/17/2023,"103.39","105.23","102.85","104.82","14,064,740"
05/16/2023,"104.63","104.81","102.02","102.52","14,800,200"
05/15/2023,"105.51","105.93","104.58","105.07","13,715,580"
05/12/2023,"106.31","107.01","104.78","105.78","12,613,250"
05/11/2023,"106.49","106.82","104.93","105.79","17,165,900"
05/10/2023,"109.74","110.01","106.71","107.74","14,884,790"
05/09/2023,"108.34","110.23","108.21","109.14","11,370,770"
05/08/2023,"110.50","110.97","109.04","109.11","11,187,750"
05/05/2023,"108.55","109.43","107.53","108.68","14,968,200"
05/04/2023,"107.90","108.75","105.91","106.04","17,177,150"
05/03/2023,"109.08","109.81","107.76","107.93","16,212,340"
05/02/2023,"113.94","113.94","109.29","110.10","24,324,100"
05/01/2023,"115.99","117.30","114.45","114.67","17,354,990"
04/28/2023,"117.25","119.92","116.83","118.34","24,381,949"
04/27/2023,"115.62","117.01","114.88","116.83","16,279,190"
04/26/2023,"116.03","117.09","114.68","115.45","15,566,090"
